# Source: https://github.com/carltonnorthern/nicknames (Apache-2.0)
# Format: canonical,variant (English given-name nickname pairs).
# One pair per line; loader is shared/seed/nicknames.js.
Emmanuel,Manuel
Epaphroditius,Dite
Epaphroditius,Ditus
Epaphroditius,Dyce
Epaphroditius,Dyche
Epaphroditius,Eppa
Ephraim,Eph
Erasmus,Rasmus
Erasmus,Raze
Eric,Rick
Eric,Ricky
Erick,Eric
Erick,Rick
Erick,Ricky
Erik,Eric
Erik,Rick
Erik,Ricky
Ernest,Ernie
Ernestine,Erna
Ernestine,Ernest
Ernestine,Teeny
Ernestine,Tina
Erwin,Irwin
Eseneth,Senie
Essy,Es
Estella,Essy
Estella,Stella
Estelle,Essy
Estelle,Stella
Esther,Essie
Esther,Hester
Eudicy,Dicey
Eudora,Dora
Eudoris,Dosie
Eudoris,Dossie
Eugene,Gene
Eunice,Nicie
Euphemia,Effie
Euphemia,Effy
Eurydice,Dicey
Eustacia,Stacia
Eustacia,Stacy
Eva,Eve
Evaline,Eva
Evaline,Eve
Evaline,Lena
Evangeline,Ev
Evangeline,Evan
Evangeline,Vangie
Evelyn,Ev
Evelyn,Eve
Evelyn,Evelina
Experience,Exie
Ezekiel,Ez
Ezekiel,Zeke
Ezideen,Ez
Ezra,Ez
Faith,Fay
Fallon,Fal
Fallon,Falcon
Fallon,Fall
Fallon,Fallie
Fallon,Fally
Fallon,Falon
Fallon,Lon
Fallon,Lonnie
Felicia,Fel
Felicia,Feli
Felicia,Felix
Felicity,Flick
Felicity,Tick
Feltie,Felty
Ferdinand,Ferdie
Ferdinand,Fred
Ferdinand,Freddie
Ferdinand,Freddy
Ferdinando,Ferdie
Ferdinando,Fred
Ferdinando,Nando
Fidelia,Delia
Fionna,Fiona
Flora,Florence
Florence,Flo
Florence,Flora
Florence,Flossy
Floyd,Lloyd
Fran,Frannie
Frances,Cissy
Frances,Fanny
Frances,Fran
Frances,Francie
Frances,Frankie
Frances,Frannie
Frances,Franniey
Frances,Franny
Frances,Sis
Francie,Francine
Francine,Fran
Francine,Francie
Francine,Frannie
Francine,Franniey
Francine,Franny
Francis,Fran
Francis,Frank
Francis,Frankie
Frank,Frankie
Frank,Franky
Frankie,Francis
Frankie,Frank
Franklin,Fran
Franklin,Frank
Franklind,Fran
Franklind,Frank
Fred,Freddie
Fred,Freddy
Freda,Frieda
Frederica,Erica
Frederica,Erika
Frederica,Freddy
Frederica,Frederick
Frederica,Rickey
Frederick,Derick
Frederick,Erick
Frederick,Fred
Frederick,Freddie
Frederick,Freddy
Frederick,Fritz
Frederick,Rick
Frederick,Ricky
Fredericka,Ericka
Fredericka,Freda
Fredericka,Freddy
Fredericka,Frieda
Fredericka,Ricka
Fredericka,Rickey
Frieda,Fred
Frieda,Freddie
Frieda,Freddy
Gabriel,Gabby
Gabriel,Gabe
Gabriella,Ella
Gabriella,Gabby
Gabrielle,Ella
Gabrielle,Gabby
Gareth,Gare
Gareth,Gary
Garrett,Barrett
Garrett,Gare
Garrett,Garratt
Garrett,Garret
Garrett,Garry
Garrett,Gary
Garrett,Jerry
Garrett,Rhett
Garrick,Garri
Genevieve,Eve
Genevieve,Jean
Genevieve,Jenny
Geoffrey,Geoff
Geoffrey,Jeff
George,Georgie
Georgia,Georgie
Georgiana,Georgia
Georgine,George
Gerald,Gerry
Gerald,Jerry
Geraldine,Dina
Geraldine,Gerri
Geraldine,Gerrie
Geraldine,Gerry
Geraldine,Jerry
Gerhardt,Gay
Gertie,Gert
Gertie,Gertrude
Gertrude,Gert
Gertrude,Gertie
Gertrude,Trudy
Gilbert,Bert
Gilbert,Gil
Gilbert,Wilber
Giovanni,Gio
Glenn,Glen
Gloria,Glory
Governor,Govie
Grace,Gracie
Grayson,Gray
Greenberry,Berry
Greenberry,Green
Greggory,Gregg
Gregory,Gory
Gregory,Greg
Gretchen,Margaret
Griselda,Grissel
Gum,Monty
Gus,Gussie
Gustavus,Gus
Gustavus,Gussie
Gwen,Wendy
Gwendolyn,Gwen
Gwendolyn,Wendy
Hailey,Haylee
Hailey,Hayley
Hamilton,Ham
Hannah,Anna
Hannah,Nan
Hannah,Nanny
Harold,Hal
Harold,Hap
Harold,Haps
Harold,Harry
Harriet,Hattie
Harrison,Hap
Harrison,Haps
Harrison,Harry
Harry,Hap
Harry,Haps
Harry,Harold
Harry,Henry
Haseltine,Hassie
Haylee,Hailey
Haylee,Hayley
Hayley,Hailey
Hayley,Haylee
Heather,Hetty
Helen,Ella
Helen,Ellen
Helen,Ellie
Helen,Lena
Helena,Aileen
Helena,Eileen
Helena,Elaine
Helena,Eleanor
Helena,Ellen
Helena,Lena
Helena,Nell
Helena,Nellie
Helene,Ella
Helene,Ellen
Helene,Ellie
Helene,Lena
Heloise,Eloise
Heloise,Elouise
Heloise,Lois
Henrietta,Etta
Henrietta,Etty
Henrietta,Hank
Henrietta,Henny
Henrietta,Nettie
Henrietta,Retta
Henry,Hal
Henry,Hank
Henry,Hap
Henry,Haps
Henry,Harry
Hephsibah,Hipsie
Hepsibah,Hipsie
Herbert,Bert
Herbert,Herb
Herman,Dutch
Herman,Harman
Hermione,Hermie
Hester,Esther
Hester,Hessy
Hester,Hetty
Hezekiah,Hez
Hezekiah,Hy
Hezekiah,Kiah
Hillary,Hilary
Hipsbibah,Hipsie
Hiram,Hy
Honora,Honey
Honora,Nora
Honora,Norah
Honora,Norry
Hopkins,Hop
Hopkins,Hopp
Horace,Horry
Hortense,Harty
Hortense,Tensey
Hosea,Hosey
Hosea,Hosie
Howard,Hal
Howard,Howie
Hubert,Bert
Hubert,Hub
Hubert,Hugh
Ian,John
Ignatius,Iggy
Ignatius,Nace
Ignatius,Nate
Ignatius,Natius
Ignatzio,Iggy
Ignatzio,Nace
Ignatzio,Naz
Immanuel,Emmanuel
Immanuel,Manuel
India,Indie
India,Indy
Inez,Agnes
Iona,Onnie
Irene,Rena
Irvin,Irving
Irving,Irv
Irwin,Erwin
Isaac,Ike
Isaac,Zeke
Isabel,Bell
Isabel,Bella
Isabel,Belle
Isabel,Ib
Isabel,Issy
Isabel,Nib
Isabel,Nibby
Isabel,Tibbie
Isabella,Bella
Isabella,Belle
Isabella,Ib
Isabella,Issy
Isabella,Nib
Isabella,Nibby
Isabella,Tibbie
Isabelle,Bella
Isabelle,Belle
Isabelle,Ib
Isabelle,Issy
Isabelle,Nib
Isabelle,Nibby
Isabelle,Tibbie
Isadora,Dora
Isadora,Issy
Isadore,Izzy
Isaiah,Zadie
Isaiah,Zay
Isidore,Izzy
Iva,Ivy
Ivan,John
Jack,Jackie
Jackson,Jack
Jacob,Jaap
Jacob,Jake
Jacob,Jay
Jacobus,Jacob
Jacqueline,Jack
Jacqueline,Jackie
Jacqueline,Jacqui
Jahoda,Hoda
Jahoda,Hodie
Jahoda,Hody
Jakob,Jake
Jalen,Al
Jalen,Alen
Jalen,Haylen
Jalen,Jaelin
Jalen,Jaelyn
Jalen,Jailyn
Jalen,Jay
Jalen,Jaye
Jalen,Jaylin
Jalen,Jaylyn
Jalen,Len
Jalen,Lennie
Jalen,Lenny
James,Jamie
James,Jem
James,Jim
James,Jimmie
James,Jimmy
Jamey,James
Jamey,Jamie
Jamie,James
Jane,Janie
Jane,Jean
Jane,Jennie
Jane,Jessie
Janet,Jan
Janet,Jessie
Janice,Jan
Jannett,Nettie
Jasmine,Jas
Jasmine,Jazz
Jasmine,Jazzy
Jason,Jase
Jason,Jay
Jasper,Casper
Jasper,Jap
Jayme,Jay
Jean,Jane
Jean,Jeannie
Jeanette,Janet
Jeanette,Jean
Jeanette,Jessie
Jeanette,Nettie
Jeanne,Jane
Jeanne,Jeannie
Jebadiah,Jeb
Jedediah,Diah
Jedediah,Dyer
Jedediah,Jed
Jedidiah,Diah
Jedidiah,Dyer
Jedidiah,Jed
Jefferey,Jeff
Jefferson,Jeff
Jefferson,Sonny
Jeffery,Jeff
Jeffrey,Geoff
Jeffrey,Jeff
Jehiel,Hiel
Jehu,Gee
Jehu,Hugh
Jemima,Mima
Jennet,Jenn
Jennet,Jenny
Jennet,Jessie
Jennie,Jen
Jennie,Jenny
Jennifer,Jen
Jennifer,Jenn
Jennifer,Jenni
Jennifer,Jennie
Jennifer,Jenny
Jeremiah,Jereme
Jeremiah,Jerry
Jeremy,Jez
Jeremy,Jezza
Jerita,Rita
Jerry,Geraldine
Jerry,Geri
Jerry,Gerry
Jerry,Jereme
Jesse,Jess
Jessica,Jess
Jessica,Jessie
Jessie,Jane
Jessie,Janet
Jessie,Jess
Jillian,Jill
Jim,Jimmie
Jimmie,Jim
Jimmie,Jimmy
Jincy,Jane
Jinsy,Jane
Joan,Jo
Joan,Nonie
Joann,Jo
Joanna,Hannah
Joanna,Jo
Joanna,Joan
Joanna,Jodi
Joanna,Jody
Joanne,Jo
Jocelyn,Jo
Jocelyn,Joss
Jody,Jo
Joe,Joey
Joey,Joe
Johann,John
Johanna,Jo
Johannah,Hannah
Johannah,Jo
Johannah,Joan
Johannah,Jody
Johannah,Nonie
Johannes,John
Johannes,Johnny
Johannes,Jonathan
John,Ian
John,Jack
John,Jock
John,Johnny
John,Jon
John,Jonnie
John,Jonny
Johnathan,John
Johnathan,Johnathon
Johnathan,Johny
Johnathan,Jon
Johnathan,Jonathan
Johnathan,Jonathon
Johnathan,Jonnie
Johnathan,Jonny
Johnathan,Nathan
Johnathon,John
Johnathon,Johnathan
Johnathon,Johny
Johnathon,Jon
Johnathon,Jonathan
Johnathon,Jonathon
Johnathon,Jonnie
Johnathon,Jonny
Jon,John
Jon,Johnny
Jon,Jonnie
Jon,Jonny
Jonathan,John
Jonathan,Johnathan
Jonathan,Johnathon
Jonathan,Johny
Jonathan,Jon
Jonathan,Jonathon
Jonathan,Jonnie
Jonathan,Jonny
Jonathan,Nathan
Jonathon,John
